term,crn,subj_code,course_num,section,max_seats
201810,10867,AMS,99    ,004,999
201810,12368,ANT,129B  ,001,99
201810,13018,ART,193   ,001,99
201810,14714,BPH,299   ,025,999
201810,14765,BUA,143   ,001,99
201810,16148,CHI,198   ,002,999
201810,16196,CHI,134   ,001,99
201810,16543,CMN,198   ,013,999
201810,16627,CMN,122B  ,001,99
201810,17204,DER,192   ,004,999
201810,17824,DRA,198   ,018,999
201810,17961,DRA,161N  ,001,99
201810,18086,EAP,105   ,001,99
201810,18087,EAP,215   ,001,99
201810,18088,EAP,220   ,001,99
201810,18089,EAP,228   ,001,99
201810,18091,EAP,240   ,001,99
201810,18092,EAP,260   ,001,99
201810,18093,EAP,270   ,001,99
201810,18094,EAP,273   ,001,99
201810,18095,EAP,275   ,001,99
201810,18096,EAP,290   ,001,99
201810,18097,EAP,304   ,001,99
201810,18098,EAP,310   ,001,99
201810,18099,EAP,325   ,001,99
201810,18100,EAP,350   ,001,99
201810,18101,EAP,357   ,001,99
201810,18102,EAP,360   ,001,99
201810,18103,EAP,390   ,001,99
201810,18104,EAP,395   ,001,99
201810,18105,EAP,405   ,001,99
201810,18106,EAP,410   ,001,99
201810,18107,EAP,425   ,001,99
201810,18108,EAP,430   ,001,99
201810,18109,EAP,445   ,001,99
201810,18110,EAP,450   ,001,99
201810,18111,EAP,459   ,002,99
201810,18112,EAP,505   ,001,99
201810,18113,EAP,510   ,001,99
201810,18114,EAP,520   ,001,99
201810,18115,EAP,530   ,001,99
201810,18116,EAP,545   ,001,99
201810,18117,EAP,587   ,001,99
201810,18118,EAP,617   ,001,99
201810,18119,EAP,620   ,001,99
201810,18120,EAP,635   ,001,99
201810,18121,EAP,640   ,001,99
201810,18122,EAP,656   ,001,99
201810,18123,EAP,660   ,001,99
201810,18124,EAP,690   ,001,99
201810,18125,EAP,700   ,001,99
201810,18126,EAP,765   ,001,99
201810,18127,EAP,820   ,001,99
201810,18128,EAP,862   ,001,99
201810,18523,ECH,99    ,013,999
201810,18664,ECH,298   ,007,999
201810,19362,ECL,242   ,001,999
201810,19391,ECL,290   ,028,999
201810,20055,ECN,135   ,001,99
201810,20132,ECS,99    ,001,999
201810,20260,ECS,199   ,001,999
201810,20631,EDU,198   ,017,999
201810,20849,EDU,307   ,001,999
201810,21476,EMS,190C  ,023,999
201810,22314,ENL,110   ,001,99
201810,22315,ENL,154W  ,001,99
201810,22316,ENL,174   ,001,99
201810,22937,ESP,167   ,001,99
201810,22942,ETX,92    ,003,999
201810,22978,ETX,99    ,020,999
201810,23175,ETX,290   ,019,999
201810,23295,EVE,92    ,012,999
201810,23640,EVE,290C  ,021,999
201810,24483,FST,192   ,032,999
201810,24558,FST,199   ,036,999
201810,28549,MAT,21B   ,A07,999
201810,28611,MAT,98    ,002,999
201810,28906,MAT,399   ,001,999
201810,31474,MPM,203   ,001,999
201810,32490,NPB,194HC ,012,999
201810,33560,NUT,298   ,039,999
201810,34355,PED,401   ,004,999
201810,35551,PHR,192   ,030,999
201810,36360,PHY,371   ,003,999
201810,38014,PMD,465   ,016,999
201810,38943,PSC,298   ,010,999
201810,39286,RAL,199   ,002,999
201810,39364,REL,230F  ,001,999
201810,39782,SAS,192   ,002,999
201810,40322,SPA,299   ,023,999
201810,40783,STA,141A  ,A01,999
201810,41855,VEN,298   ,011,999
201810,42124,WFC,199   ,012,999
201810,42412,WMS,198   ,010,999
201810,43267,LIN,106   ,A04,999
201810,43872,ENM,499   ,001,99
201810,43877,POL,299D  ,119,99
201810,43881,BCM,299   ,018,50
201810,43885,PMI,299   ,017,99
201810,43889,PMD,199   ,026,99
201810,43893,ECN,291   ,005,40
201810,43897,ECN,291   ,009,40
201810,43901,AHI,396   ,021,99
201810,43906,DRA,299   ,028,99
201810,43910,DES,396   ,021,99
201810,43914,DES,299   ,024,99
201810,43918,DES,299   ,028,99
201810,43922,DES,299   ,032,99
