term,crn,subj_code,course_num,section,max_seats
201810,10001,AAS,10    ,A01,25
201810,10002,AAS,10    ,A02,25
201810,10003,AAS,10    ,A03,999
201810,10004,AAS,10    ,A04,999
201810,10005,AAS,10    ,A05,999
201810,10006,AAS,10    ,A06,999
201810,10011,AAS,99    ,000,0
201810,10012,AAS,99    ,001,999
201810,10013,AAS,99    ,002,99
201810,10014,AAS,99    ,003,50
201810,10015,AAS,99    ,004,99
201810,10016,AAS,99    ,005,99
201810,10017,AAS,99    ,007,30
201810,10018,AAS,99    ,008,99
201810,10023,AAS,192   ,000,0
201810,10024,AAS,192   ,001,999
201810,10025,AAS,192   ,002,99
201810,10026,AAS,192   ,003,99
201810,10027,AAS,192   ,004,99
201810,10028,AAS,192   ,005,99
201810,10029,AAS,192   ,006,99
201810,10030,AAS,193XW ,001,999
201810,10031,AAS,197T  ,000,0
201810,10032,AAS,197T  ,001,999
201810,10033,AAS,197T  ,002,999
201810,10034,AAS,197T  ,003,999
201810,10035,AAS,197T  ,004,99
201810,10036,AAS,197T  ,005,99
201810,10037,AAS,197T  ,007,99
201810,10038,AAS,197T  ,008,999
201810,10039,AAS,198   ,000,0
201810,10040,AAS,198   ,001,999
201810,10041,AAS,198   ,002,999
201810,10042,AAS,198   ,003,999
201810,10043,AAS,198   ,004,99
201810,10044,AAS,198   ,005,999
201810,10045,AAS,198   ,006,99
201810,10046,AAS,198   ,007,99
201810,10047,AAS,198   ,008,99
201810,10048,AAS,198   ,009,99
201810,10049,AAS,199   ,000,0
201810,10050,AAS,199   ,001,999
201810,10051,AAS,199   ,002,99
201810,10052,AAS,199   ,003,99
201810,10053,AAS,199   ,004,99
201810,10054,AAS,199   ,005,99
201810,10055,AAS,199   ,007,30
201810,10056,AAS,199   ,008,30
201810,10057,AAS,199   ,009,99
201810,10058,AAS,298A  ,000,0
201810,10059,AAS,298A  ,002,99
201810,10060,AAS,298A  ,003,99
201810,10061,AAS,298A  ,004,99
201810,10062,AAS,298A  ,005,99
201810,10063,AAS,298A  ,006,99
201810,10064,AAS,298B  ,000,0
