term,crn,iid
201801,45258,100000001
201801,45371,100000001
201801,65506,100000001
201801,65518,100000001
201801,65551,100000001
201803,54013,100000001
201803,54070,100000001
201803,73292,100000001
201803,73304,100000001
201803,73341,100000001
201810,14125,100000001
201810,33838,100000001
201810,33855,100000001
201810,33891,100000001
201801,52263,100000002
201801,52312,100000002
201801,52347,100000002
201801,52383,100000002
201801,52430,100000002
201801,52495,100000002
201801,52553,100000002
201803,60962,100000002
201803,61010,100000002
201803,61070,100000002
201803,61134,100000002
201803,61190,100000002
201803,81781,100000002
201803,81787,100000002
201803,81803,100000002
201810,20936,100000002
201810,20982,100000002
201810,21025,100000002
201810,21099,100000002
201810,21163,100000002
201810,21219,100000002
201801,73026,100000007
201803,80651,100000007
201810,21732,100000007
201801,42714,100000009
201801,42767,100000009
201801,42809,100000009
201801,42850,100000009
201801,42870,100000009
201801,42904,100000009
201801,42945,100000009
201801,42987,100000009
201801,51309,100000009
201803,52574,100000009
201803,52616,100000009
201803,52657,100000009
201803,52702,100000009
201803,52753,100000009
201803,52795,100000009
201803,52837,100000009
201810,12542,100000009
201810,12543,100000009
201810,12544,100000009
201810,12545,100000009
201810,12546,100000009
201810,12547,100000009
201810,12610,100000009
201810,12626,100000009
201810,12662,100000009
201810,12705,100000009
201810,12746,100000009
201810,12798,100000009
201810,12839,100000009
201810,12881,100000009
201801,53957,100000011
201801,54017,100000011
201801,72476,100000011
201801,72524,100000011
201801,72525,100000011
201801,72527,100000011
201801,72528,100000011
201801,72592,100000011
201803,62582,100000011
201803,62642,100000011
201803,80085,100000011
201803,80086,100000011
201803,80087,100000011
201803,80088,100000011
201803,80089,100000011
201803,80090,100000011
201803,80091,100000011
201803,80092,100000011
201803,80143,100000011
201803,80144,100000011
201803,80181,100000011
201803,80220,100000011
201810,22608,100000011
201801,45764,100000012
201801,45844,100000012
201803,54539,100000012
201803,61283,100000012
201810,21323,100000012
201801,45571,100000013
201801,45600,100000013
201801,45627,100000013
201801,45659,100000013
201801,45690,100000013
201801,45718,100000013
201801,46947,100000013
201801,56888,100000013
201801,56974,100000013
201801,57067,100000013
201801,61983,100000013
201801,65826,100000013
201801,68428,100000013
201801,68547,100000013
201801,68663,100000013
201801,68754,100000013
201801,68872,100000013
201801,68960,100000013
201801,69080,100000013
201801,69180,100000013
201801,69269,100000013
201801,69358,100000013
201803,54336,100000013
201803,54364,100000013
201803,54396,100000013
201803,54424,100000013
201803,54484,100000013
201803,57252,100000013
201803,65533,100000013
201803,69876,100000013
201803,73605,100000013
201803,73690,100000013
201803,76448,100000013
201803,76566,100000013
201803,76680,100000013
201803,76770,100000013
201803,76890,100000013
201803,76979,100000013
201803,77100,100000013
201803,77200,100000013
201803,77289,100000013
201803,77378,100000013
201810,14411,100000013
201810,14443,100000013
201810,14477,100000013
201810,14509,100000013
201810,14542,100000013
201810,14548,100000013
201810,17200,100000013
201810,25481,100000013
201810,25569,100000013
201810,29924,100000013
201810,34164,100000013
201810,36938,100000013
201810,37057,100000013
201810,37182,100000013
201810,37272,100000013
201810,37390,100000013
201810,37480,100000013
201810,37600,100000013
201810,37728,100000013
201810,37817,100000013
201801,45338,100000014
201803,54035,100000014
201810,14138,100000014
201801,60680,100000015
201801,60732,100000015
201801,60846,100000015
201801,60868,100000015
201801,60905,100000015
201803,68663,100000015
201803,68719,100000015
201803,68730,100000015
201803,68781,100000015
201810,28650,100000015
201810,28670,100000015
201810,28771,100000015
201810,28817,100000015
201810,28882,100000015
201810,27567,100000017
201801,66261,100000019
201801,66599,100000019
201803,74234,100000019
201803,74355,100000019
201803,74573,100000019
201810,34797,100000019
201810,34936,100000019
201810,35157,100000019
201801,57608,100000021
201801,57693,100000021
201801,57735,100000021
201801,57739,100000021
201801,57798,100000021
201801,57839,100000021
201801,57878,100000021
201801,57918,100000021
201801,57971,100000021
201801,58013,100000021
201801,58056,100000021
201801,58097,100000021
201801,58142,100000021
201801,58188,100000021
201801,74960,100000021
201801,74961,100000021
201801,74962,100000021
201801,74963,100000021
201801,74964,100000021
201801,74965,100000021
201803,66109,100000021
201803,66149,100000021
201803,66154,100000021
201803,66196,100000021
201803,66238,100000021
201803,66246,100000021
201803,66292,100000021
201803,66337,100000021
201803,66377,100000021
201803,66416,100000021
201803,66466,100000021
201803,66511,100000021
201803,66554,100000021
201803,66599,100000021
201803,66644,100000021
201810,26185,100000021
201810,26224,100000021
201810,26225,100000021
201810,26274,100000021
201810,26355,100000021
201810,26396,100000021
201810,26437,100000021
201810,26483,100000021
201810,26537,100000021
201810,26582,100000021
201810,26624,100000021
201810,26669,100000021
201810,26715,100000021
201801,60755,100000022
201801,60823,100000022
201803,68546,100000022
201803,68547,100000022
201803,68633,100000022
201803,68732,100000022
201810,28786,100000022
201810,28838,100000022
201810,28876,100000022
201801,66774,100000024
201801,66775,100000024
201801,66776,100000024
201801,66777,100000024
201801,66778,100000024
201801,66779,100000024
201801,66805,100000024
201801,66823,100000024
201801,66838,100000024
201801,66850,100000024
201801,66868,100000024
201801,66886,100000024
201801,66904,100000024
201801,66926,100000024
201801,66944,100000024
201801,66962,100000024
201801,74952,100000024
201801,74953,100000024
201801,74954,100000024
201803,74770,100000024
201803,74788,100000024
201803,74818,100000024
201803,74836,100000024
201803,74854,100000024
201803,74872,100000024
201803,74894,100000024
201803,74912,100000024
201803,74930,100000024
201810,35384,100000024
201810,35402,100000024
201810,35428,100000024
201810,35446,100000024
201810,35464,100000024
201810,35480,100000024
201810,35501,100000024
201810,35519,100000024
201801,47379,100000025
201801,47390,100000025
201801,47398,100000025
201801,47423,100000025
201801,47452,100000025
201801,47461,100000025
201801,47463,100000025
201801,47465,100000025
201801,48422,100000025
201801,48466,100000025
201801,53984,100000025
201801,56712,100000025
201803,56056,100000025
201803,56063,100000025
201803,56071,100000025
201803,56072,100000025
201803,56134,100000025
201803,56139,100000025
201803,57089,100000025
201803,57140,100000025
201803,62632,100000025
201803,65358,100000025
201810,16078,100000025
201810,16094,100000025
201810,16103,100000025
201810,16117,100000025
201810,16120,100000025
201810,16135,100000025
201810,16165,100000025
201810,16171,100000025
201810,16176,100000025
201810,16178,100000025
201810,16180,100000025
201810,17044,100000025
201810,17077,100000025
201810,22666,100000025
201810,25283,100000025
201801,43433,100000026
201801,44576,100000026
201803,82856,100000026
201810,13359,100000026
201810,43286,100000026
201801,70176,100000027
201803,78272,100000027
201801,68237,100000028
201801,68270,100000028
201801,68303,100000028
201801,68340,100000028
201803,76264,100000028
201803,76297,100000028
201803,76330,100000028
201803,76363,100000028
201803,76394,100000028
201810,36753,100000028
201810,36786,100000028
201810,36819,100000028
201810,36855,100000028
201801,51507,100000029
201801,51550,100000029
201801,51638,100000029
201801,51681,100000029
201801,51731,100000029
201801,51774,100000029
201801,51827,100000029
201803,60163,100000029
201803,60208,100000029
201803,60286,100000029
201803,60329,100000029
201803,60385,100000029
201803,60428,100000029
201803,60523,100000029
201803,81676,100000029
201810,20125,100000029
201810,20168,100000029
201810,20253,100000029
201810,20296,100000029
201810,20349,100000029
201810,20392,100000029
201810,20445,100000029
201810,42481,100000029
201801,74691,100000030
201803,82022,100000030
201810,28556,100000030
201810,28557,100000030
201810,28558,100000030
201801,71740,100000032
201803,79820,100000032
201810,40239,100000032
201810,40312,100000032
201801,69776,100000033
201801,69864,100000033
201801,69915,100000033
201801,69979,100000033
201803,77910,100000033
201803,78001,100000033
201803,82340,100000033
201810,38324,100000033
201810,38407,100000033
201810,38443,100000033
201810,42782,100000033
201801,57162,100000034
201801,57187,100000034
201801,57215,100000034
201801,57228,100000034
201801,57255,100000034
201801,57288,100000034
201801,57338,100000034
