term,crn,iid
201810,14125,100000001
201810,33838,100000001
201810,33855,100000001
201810,33891,100000001
201810,20936,100000002
201810,20982,100000002
201810,21025,100000002
201810,21099,100000002
201810,21163,100000002
201810,21219,100000002
201810,21732,100000007
201810,12542,100000009
201810,12543,100000009
201810,12544,100000009
201810,12545,100000009
201810,12546,100000009
201810,12547,100000009
201810,12610,100000009
201810,12626,100000009
201810,12662,100000009
201810,12705,100000009
201810,12746,100000009
201810,12798,100000009
201810,12839,100000009
201810,12881,100000009
201810,22608,100000011
201810,21323,100000012
201810,14411,100000013
201810,14443,100000013
201810,14477,100000013
201810,14509,100000013
201810,14542,100000013
201810,14548,100000013
201810,17200,100000013
201810,25481,100000013
201810,25569,100000013
201810,29924,100000013
201810,34164,100000013
201810,36938,100000013
201810,37057,100000013
201810,37182,100000013
201810,37272,100000013
201810,37390,100000013
201810,37480,100000013
201810,37600,100000013
201810,37728,100000013
201810,37817,100000013
201810,14138,100000014
201810,28650,100000015
201810,28670,100000015
201810,28771,100000015
201810,28817,100000015
201810,28882,100000015
201810,27567,100000017
201810,34797,100000019
201810,34936,100000019
201810,35157,100000019
201810,26185,100000021
201810,26224,100000021
201810,26225,100000021
201810,26274,100000021
201810,26355,100000021
201810,26396,100000021
201810,26437,100000021
201810,26483,100000021
201810,26537,100000021
201810,26582,100000021
201810,26624,100000021
201810,26669,100000021
201810,26715,100000021
201810,28786,100000022
201810,28838,100000022
201810,28876,100000022
201810,35384,100000024
201810,35402,100000024
201810,35428,100000024
201810,35446,100000024
201810,35464,100000024
201810,35480,100000024
201810,35501,100000024
201810,35519,100000024
201810,16078,100000025
201810,16094,100000025
201810,16103,100000025
201810,16117,100000025
201810,16120,100000025
201810,16135,100000025
201810,16165,100000025
201810,16171,100000025
201810,16176,100000025
201810,16178,100000025
201810,16180,100000025
201810,17044,100000025
201810,17077,100000025
201810,22666,100000025
201810,25283,100000025
201810,13359,100000026
201810,43286,100000026
201810,36753,100000028
201810,36786,100000028
201810,36819,100000028
201810,36855,100000028
201810,20125,100000029
201810,20168,100000029
201810,20253,100000029
201810,20296,100000029
201810,20349,100000029
201810,20392,100000029
201810,20445,100000029
201810,42481,100000029
201810,28556,100000030
201810,28557,100000030
201810,28558,100000030
201810,40239,100000032
201810,40312,100000032
201810,38324,100000033
201810,38407,100000033
201810,38443,100000033
201810,42782,100000033
201810,25738,100000034
201810,25764,100000034
201810,25788,100000034
201810,25789,100000034
201810,25790,100000034
201810,25791,100000034
201810,25792,100000034
201810,25794,100000034
201810,25803,100000034
201810,25813,100000034
201810,25839,100000034
201810,25869,100000034
201810,25911,100000034
201810,25949,100000034
201810,25983,100000034
201810,26018,100000034
201810,41322,100000035
201810,41326,100000035
201810,41334,100000035
201810,40181,100000036
201810,40182,100000036
201810,40183,100000036
201810,40185,100000036
201810,40186,100000036
201810,40187,100000036
201810,40189,100000036
201810,40190,100000036
201810,40191,100000036
201810,40192,100000036
201810,40199,100000036
201810,40311,100000036
201810,40328,100000036
201810,42500,100000036
201810,18501,100000037
201810,18519,100000037
201810,18549,100000037
201810,18572,100000037
201810,18596,100000037
201810,18614,100000037
201810,18643,100000037
201810,18665,100000037
201810,18684,100000037
201810,18707,100000037
201810,31509,100000038
201810,31511,100000038
201810,13827,100000039
201810,14140,100000039
201810,24244,100000039
201810,40938,100000039
201810,18772,100000040
201810,18823,100000040
201810,18874,100000040
201810,18960,100000040
201810,19011,100000040
201810,19068,100000040
201810,19119,100000040
201810,19137,100000040
201810,19201,100000040
201810,19253,100000040
201810,19304,100000040
201810,19355,100000040
201810,21766,100000041
201810,13836,100000042
201810,13898,100000042
201810,43612,100000042
201810,43944,100000044
201810,37924,100000045
201810,13621,100000047
201810,14529,100000047
201810,14569,100000047
201810,25653,100000047
201810,34149,100000047
201810,36924,100000047
201810,37043,100000047
201810,37168,100000047
201810,37258,100000047
201810,37376,100000047
201810,37466,100000047
201810,37586,100000047
201810,37686,100000047
201810,37714,100000047
201810,37803,100000047
201810,21796,100000048
201810,21828,100000048
201810,21945,100000048
201810,38643,100000049
201810,38855,100000049
201810,30462,100000051
201810,30551,100000051
201810,30637,100000051
201810,21273,100000053
201810,15162,100000055
201810,15212,100000055
201810,15397,100000055
201810,15448,100000055
201810,15499,100000055
201810,15551,100000055
201810,15602,100000055
201810,15653,100000055
201810,15712,100000055
201810,15768,100000055
201810,15824,100000055
201810,15887,100000055
201810,15943,100000055
201810,15999,100000055
201810,24210,100000055
201810,24211,100000055
201810,19361,100000057
201810,19400,100000057
201810,19460,100000057
201810,22763,100000057
201810,22809,100000057
201810,22835,100000057
201810,22861,100000057
201810,22888,100000057
201810,22915,100000057
201810,28799,100000057
201810,28810,100000057
201810,28893,100000057
201810,33937,100000057
201810,33956,100000057
201810,34015,100000057
201810,34071,100000057
201810,12054,100000058
201810,12082,100000058
201810,12132,100000058
201810,12162,100000058
201810,12192,100000058
201810,12222,100000058
201810,12252,100000058
201810,12296,100000058
201810,12322,100000058
201810,12351,100000058
201810,19574,100000059
201810,19616,100000059
201810,19658,100000059
201810,19809,100000059
201810,19861,100000059
201810,19903,100000059
201810,19964,100000059
201810,20006,100000059
201810,20048,100000059
201810,23272,100000061
201810,39206,100000061
201810,28736,100000062
201810,28764,100000062
201810,28785,100000062
201810,28658,100000064
201810,28667,100000064
201810,28777,100000064
201810,28813,100000064
201810,28842,100000064
201810,28892,100000064
201810,16187,100000067
201810,43411,100000067
201810,43412,100000067
201810,43413,100000067
201810,43414,100000067
201810,43415,100000067
201810,43416,100000067
201810,43417,100000067
201810,43418,100000067
201810,43419,100000067
201810,43420,100000067
201810,30762,100000068
201810,31025,100000068
201810,13693,100000069
201810,23751,100000069
201810,23762,100000069
201810,23775,100000069
201810,23788,100000069
201810,23801,100000069
201810,23814,100000069
201810,23829,100000069
201810,23840,100000069
201810,23854,100000069
201810,23867,100000069
201810,23880,100000069
201810,23893,100000069
201810,30475,100000069
201810,30564,100000069
201810,30650,100000069
201810,32134,100000069
201810,32207,100000069
201810,32266,100000069
201810,32304,100000069
201810,32305,100000069
201810,32306,100000069
201810,32307,100000069
201810,32308,100000069
201810,32309,100000069
201810,32339,100000069
201810,32413,100000069
201810,32528,100000069
201810,32604,100000069
201810,43581,100000069
201810,43582,100000069
201810,43622,100000069
201810,18769,100000070
201810,18818,100000070
201810,18869,100000070
201810,18955,100000070
201810,19006,100000070
201810,19063,100000070
201810,19114,100000070
201810,19135,100000070
201810,19196,100000070
201810,19248,100000070
201810,19299,100000070
201810,19350,100000070
201810,16719,100000071
201810,16750,100000071
201810,16781,100000071
201810,16812,100000071
201810,16857,100000071
201810,16887,100000071
201810,21793,100000071
201810,21825,100000071
201810,21863,100000071
201810,21942,100000071
201810,22013,100000071
201810,22052,100000071
201810,22108,100000071
201810,22150,100000071
201810,22200,100000071
201810,22250,100000071
201810,12472,100000072
201810,12513,100000072
201810,12606,100000072
201810,12657,100000072
201810,12700,100000072
201810,12793,100000072
201810,12834,100000072
201810,12876,100000072
201810,40793,100000073
201810,40796,100000073
201810,40802,100000073
201810,40848,100000073
201810,40870,100000073
201810,28767,100000074
201810,28718,100000075
201810,28779,100000075
201810,28845,100000075
201810,28894,100000075
201810,13630,100000076
201810,37901,100000076
201810,31510,100000079
201810,43555,100000079
201810,13761,100000080
201810,25614,100000080
201810,32346,100000080
201810,32611,100000080
201810,32801,100000080
201810,32885,100000080
201810,42212,100000081
201810,41232,100000082
201810,15190,100000083
201810,15240,100000083
201810,15374,100000083
201810,15425,100000083
201810,15476,100000083
201810,15527,100000083
201810,15630,100000083
201810,15682,100000083
201810,15740,100000083
201810,15796,100000083
201810,15852,100000083
201810,15915,100000083
201810,15971,100000083
201810,16027,100000083
201810,18514,100000083
201810,18545,100000083
201810,18610,100000083
201810,18640,100000083
201810,18681,100000083
201810,21465,100000083
201810,21486,100000083
201810,21500,100000083
201810,21527,100000083
201810,21551,100000083
201810,21570,100000083
201810,21588,100000083
201810,21612,100000083
201810,24875,100000083
201810,24922,100000083
201810,24959,100000083
201810,24995,100000083
201810,25031,100000083
201810,25067,100000083
201810,25103,100000083
201810,25139,100000083
201810,25180,100000083
201810,25216,100000083
201810,25253,100000083
201810,10783,100000084
201810,10823,100000084
201810,20802,100000087
201810,14595,100000088
201810,14712,100000088
201810,15198,100000088
201810,15248,100000088
201810,15382,100000088
201810,15433,100000088
201810,15484,100000088
201810,15535,100000088
201810,15587,100000088
201810,15638,100000088
201810,15689,100000088
201810,15748,100000088
201810,15804,100000088
201810,15860,100000088
201810,15923,100000088
201810,15979,100000088
201810,16035,100000088
201810,20559,100000090
201810,20560,100000090
201810,20795,100000090
201810,26149,100000092
201810,26189,100000092
201810,26236,100000092
201810,26319,100000092
201810,26360,100000092
201810,26401,100000092
201810,26447,100000092
201810,26503,100000092
201810,26548,100000092
201810,26590,100000092
201810,26635,100000092
201810,26681,100000092
201810,42637,100000092
201810,43410,100000092
201810,24247,100000095
201810,28450,100000095
201810,28589,100000095
201810,28590,100000095
201810,28591,100000095
201810,28592,100000095
201810,28593,100000095
201810,28594,100000095
201810,28595,100000095
201810,28596,100000095
201810,28597,100000095
201810,28598,100000095
201810,28630,100000095
201810,28631,100000095
201810,43154,100000095
201810,43155,100000095
201810,30765,100000097
201810,18071,100000098
201810,18078,100000098
201810,26896,100000098
201810,41369,100000098
201810,41546,100000098
201810,41597,100000098
201810,41623,100000098
201810,18382,100000099
201810,18442,100000099
201810,14578,100000100
201810,19457,100000100
201810,36925,100000100
201810,37044,100000100
201810,37169,100000100
201810,37259,100000100
201810,37377,100000100
201810,37467,100000100
201810,37587,100000100
201810,37687,100000100
201810,37715,100000100
201810,37804,100000100
201810,38505,100000101
201810,38585,100000101
201810,38650,100000101
201810,38703,100000101
201810,38749,100000101
201810,38812,100000101
201810,38967,100000101
201810,39039,100000101
201810,41392,100000102
201810,41445,100000102
201810,41530,100000102
201810,41531,100000102
201810,41554,100000102
201810,41690,100000102
201810,43589,100000102
201810,18747,100000103
201810,18796,100000103
201810,18847,100000103
201810,18933,100000103
201810,18984,100000103
201810,19041,100000103
201810,19092,100000103
201810,19127,100000103
201810,19174,100000103
201810,19226,100000103
201810,19277,100000103
201810,19328,100000103
201810,21264,100000103
201810,41055,100000103
201810,41083,100000103
201810,43802,100000103
201810,24302,100000104
201810,26984,100000104
201810,27004,100000104
201810,27023,100000104
201810,27043,100000104
201810,27063,100000104
201810,30469,100000104
201810,30558,100000104
201810,30644,100000104
201810,14441,100000107
201810,34216,100000107
201810,37000,100000107
201810,37119,100000107
201810,37244,100000107
201810,37334,100000107
201810,37452,100000107
201810,37542,100000107
201810,37662,100000107
201810,37790,100000107
201810,37879,100000107
201810,14963,100000108
201810,43542,100000111
201810,28587,100000112
201810,24163,100000114
201810,39351,100000114
201810,39353,100000114
201810,39354,100000114
201810,39366,100000114
201810,39375,100000114
201810,39415,100000114
201810,39511,100000114
201810,39526,100000114
201810,42539,100000114
201810,26760,100000115
201810,28199,100000115
201810,17630,100000116
201810,14005,100000118
201810,14032,100000118
201810,14062,100000118
201810,14147,100000118
201810,35389,100000119
201810,35407,100000119
201810,35433,100000119
201810,35451,100000119
201810,35485,100000119
201810,35506,100000119
201810,35524,100000119
201810,35542,100000119
201810,12421,100000121
201810,12422,100000121
201810,27298,100000122
201810,27323,100000122
201810,27365,100000122
201810,41235,100000124
201810,10990,100000125
201810,42800,100000125
201810,42808,100000125
201810,42810,100000125
201810,42811,100000125
201810,42814,100000125
201810,42815,100000125
201810,42816,100000125
201810,42817,100000125
201810,25736,100000126
201810,25762,100000126
201810,25810,100000126
201810,25835,100000126
201810,25865,100000126
201810,25907,100000126
201810,25945,100000126
201810,25967,100000126
201810,25979,100000126
201810,26015,100000126
201810,38241,100000127
201810,18552,100000129
201810,18617,100000129
201810,43659,100000129
201810,43660,100000129
201810,43572,100000130
201810,43575,100000130
201810,38487,100000131
201810,38600,100000131
201810,38636,100000131
201810,38713,100000131
201810,24382,100000132
201810,24473,100000132
201810,24490,100000132
201810,24544,100000132
201810,24561,100000132
201810,24604,100000132
201810,24660,100000132
201810,33488,100000132
201810,33592,100000132
201810,31554,100000134
201810,31555,100000134
201810,31556,100000134
201810,31557,100000134
201810,31558,100000134
201810,31559,100000134
201810,31560,100000134
201810,31577,100000134
201810,31578,100000134
201810,31583,100000134
201810,31693,100000134
201810,31760,100000134
201810,31778,100000134
201810,31831,100000134
201810,27363,100000135
201810,36951,100000135
201810,37070,100000135
201810,37195,100000135
201810,37285,100000135
201810,37403,100000135
201810,37493,100000135
201810,37581,100000135
201810,37613,100000135
201810,37741,100000135
201810,37830,100000135
201810,39590,100000135
201810,39642,100000135
201810,40701,100000135
201810,43294,100000135
201810,30665,100000137
201810,38163,100000137
201810,33874,100000138
201810,33875,100000138
201810,33888,100000138
201810,33895,100000138
201810,39251,100000139
201810,15644,100000140
201810,18735,100000141
201810,18784,100000141
201810,18835,100000141
201810,18921,100000141
201810,18972,100000141
201810,19029,100000141
201810,19080,100000141
201810,19162,100000141
201810,19214,100000141
201810,19265,100000141
201810,19316,100000141
201810,14786,100000143
201810,14808,100000143
201810,14850,100000143
201810,14871,100000143
201810,30519,100000143
201810,30607,100000143
201810,30694,100000143
201810,32639,100000145
201810,32641,100000145
201810,32704,100000145
201810,32760,100000145
201810,32767,100000145
201810,33018,100000146
201810,33119,100000146
201810,33208,100000146
201810,33252,100000146
201810,33343,100000146
201810,33518,100000146
201810,33562,100000146
201810,40977,100000148
201810,40978,100000148
201810,41545,100000149
201810,41551,100000149
201810,10247,100000150
201810,10283,100000150
201810,41973,100000150
201810,16723,100000151
201810,16754,100000151
201810,16785,100000151
201810,16816,100000151
201810,16861,100000151
201810,16891,100000151
201810,40248,100000151
201810,40278,100000151
201810,40315,100000151
201810,19541,100000153
201810,19583,100000153
201810,19625,100000153
201810,19720,100000153
201810,19721,100000153
201810,19722,100000153
201810,19723,100000153
201810,19776,100000153
201810,19828,100000153
201810,19870,100000153
201810,19914,100000153
201810,19931,100000153
201810,19973,100000153
201810,20015,100000153
201810,42906,100000153
201810,42907,100000153
201810,18383,100000154
201810,18443,100000154
201810,20940,100000155
201810,20986,100000155
201810,21028,100000155
201810,21066,100000155
201810,21103,100000155
201810,21167,100000155
201810,21223,100000155
201810,28534,100000156
201810,28535,100000156
201810,28536,100000156
201810,28537,100000156
201810,28636,100000156
201810,28637,100000156
201810,34769,100000157
201810,34772,100000157
201810,34773,100000157
201810,34776,100000157
201810,34815,100000157
201810,34817,100000157
201810,34895,100000157
201810,34942,100000157
201810,34987,100000157
201810,35032,100000157
201810,35123,100000157
201810,35171,100000157
201810,35216,100000157
201810,35261,100000157
201810,35306,100000157
201810,41247,100000158
201810,41475,100000158
201810,10092,100000159
201810,10153,100000159
201810,33376,100000159
201810,33462,100000159
201810,33644,100000159
201810,41919,100000159
201810,41942,100000159
201810,14981,100000160
201810,14982,100000160
201810,14983,100000160
201810,14984,100000160
201810,14985,100000160
201810,14986,100000160
201810,14987,100000160
201810,14988,100000160
201810,14989,100000160
201810,14990,100000160
201810,14991,100000160
201810,14992,100000160
201810,14993,100000160
201810,14994,100000160
201810,14995,100000160
201810,14996,100000160
201810,14997,100000160
201810,14998,100000160
201810,15002,100000160
201810,15003,100000160
201810,15004,100000160
201810,15005,100000160
201810,15006,100000160
201810,15007,100000160
201810,15008,100000160
201810,15009,100000160
201810,15010,100000160
201810,15011,100000160
201810,15012,100000160
201810,15013,100000160
201810,15014,100000160
201810,15015,100000160
201810,15016,100000160
201810,15017,100000160
201810,15018,100000160
201810,15024,100000160
201810,16048,100000160
201810,43071,100000160
201810,43072,100000160
201810,43073,100000160
201810,26172,100000162
201810,26211,100000162
201810,26261,100000162
201810,26342,100000162
201810,26383,100000162
201810,26424,100000162
201810,26470,100000162
201810,26524,100000162
201810,26569,100000162
201810,26611,100000162
201810,26656,100000162
201810,26702,100000162
201810,19547,100000164
201810,19589,100000164
201810,19631,100000164
201810,19698,100000164
201810,19699,100000164
201810,19782,100000164
201810,19834,100000164
201810,19876,100000164
201810,19911,100000164
201810,19937,100000164
201810,19979,100000164
