term,crn,iid
201810,10001,100002417
201810,10002,100002417
201810,10003,301234567
201810,10004,301234568
201810,10005,301234569
201810,10006,301234570
201810,10011,190000001
201810,10012,301234571
201810,10013,190000001
201810,10014,100003681
201810,10015,100002444
201810,10016,190000001
201810,10017,100002417
201810,10018,200000758
201810,10023,190000001
201810,10024,301234572
201810,10025,100002596
201810,10026,100002417
201810,10027,100002444
201810,10028,190000001
201810,10029,100003932
201810,10030,301234573
201810,10031,190000001
201810,10032,301234574
201810,10033,301234575
201810,10034,301234576
201810,10035,100002444
201810,10036,190000001
201810,10037,100002417
201810,10038,301234577
201810,10039,190000001
201810,10040,301234578
201810,10041,301234579
201810,10042,301234580
201810,10043,100002444
201810,10044,301234581
201810,10045,190000001
201810,10046,100002417
201810,10047,190000001
201810,10048,190000001
201810,10049,190000001
201810,10050,301234582
201810,10051,100000960
201810,10052,100000969
201810,10053,100002444
201810,10054,100002417
201810,10055,100001960
201810,10056,200000212
201810,10057,100003932
201810,10058,190000001
201810,10059,100003932
201810,10060,100000960
201810,10061,100003681
201810,10062,190000001
201810,10063,190000001
201810,10064,190000001
201810,10065,100002444
201810,10066,190000001
201810,10067,100003681
201810,10068,100002444
201810,10069,100002417
201810,10070,100000960
201810,10071,190000001
201810,10072,190000001
201810,10073,100003555
201810,10074,100001100
201810,10075,100003536
201810,10076,100000209
201810,10077,190000002
201810,10078,190000002
201810,10079,190000002
201810,10080,190000002
201810,10081,100002792
201810,10082,100003398
201810,10083,100004228
201810,10084,100001253
201810,10085,100004291
201810,10086,100004230
201810,10087,100002250
201810,10088,100000209
201810,10089,100000918
201810,10090,100001409
201810,10091,100002469
201810,10092,100000159
201810,10093,100003715
201810,10094,100003930
201810,10095,100002946
201810,10096,100001470
201810,10097,100002288
201810,10098,100001936
201810,10099,100002994
201810,10100,100002647
201810,10101,100001037
201810,10102,100000232
201810,10103,100001914
201810,10104,100000852
201810,10105,100001527
201810,10106,100003555
201810,10107,100003833
201810,10108,100004485
201810,10109,100000374
201810,10110,200004749
201810,10111,100001756
201810,10112,100000800
201810,10113,100004316
201810,10114,100002370
201810,10115,100002382
201810,10116,100001100
201810,10117,100001397
201810,10118,100003658
201810,10119,100003927
201810,10120,100002854
201810,10121,100002006
201810,10122,100002666
201810,10123,100002575
201810,10124,100003891
201810,10125,100001802
201810,10126,100004251
201810,10127,200008214
201810,10128,100003257
201810,10129,100004328
201810,10130,100000390
201810,10131,100000228
201810,10132,100004434
201810,10133,100000487
201810,10134,100004474
201810,10135,100001477
201810,10136,100003536
201810,10137,100001307
201810,10138,190000002
201810,10139,100001397
201810,10140,100003398
201810,10141,190000002
201810,10142,100002792
201810,10143,100003398
201810,10144,100004228
201810,10145,100001253
201810,10146,100004291
201810,10147,100004230
201810,10148,100002250
201810,10149,100000209
201810,10150,100000918
201810,10151,100001409
201810,10152,100002469
201810,10153,100000159
201810,10154,100003715
201810,10155,100003930
201810,10156,100002946
201810,10157,100001470
201810,10158,100002288
201810,10159,100001936
201810,10160,100002994
201810,10161,100002647
201810,10162,100001037
201810,10163,100000232
201810,10164,100001914
201810,10165,100000852
201810,10166,100001527
201810,10167,100003555
201810,10168,100003833
201810,10169,100004485
201810,10170,100000374
201810,10171,200004749
201810,10172,100001756
201810,10173,100000800
201810,10174,100004316
201810,10175,100002370
201810,10176,100002382
201810,10177,100001100
201810,10178,100001397
201810,10179,100003658
201810,10180,100003927
201810,10181,100002854
201810,10182,100002006
201810,10183,100002666
201810,10184,100002575
201810,10185,100003891
201810,10186,100001802
201810,10187,100004251
201810,10188,200008214
201810,10189,100003257
201810,10190,100004328
201810,10191,100000390
201810,10192,100000228
201810,10193,100004434
